file,GILS_cost,DBMEA_cost,GRASP_cost,GILS_time,DBMEA_time,GRASP_time,min_method,n,m,ratio1,ratio2,density,avg_clustering,mst_size,tsp_approx,edge_min,edge_max,edge_mean,edge_std,edge_var,edge_q25,edge_q75,between_min,between_max,between_mean,between_std,between_var,between_q25,between_q75,closeness_min,closeness_max,closeness_mean,closeness_std,closeness_var,closeness_q25,closeness_q75,prediction,selection_cost,selection_time,correct,actual_predicted
att48.tsp,226229.0,207771.0,301702.0,6.474685430526733,5.288543462753296,0.0260190963745117,DBMEA_cost,48,1176,0.0408163265306122,24.5,1.0425531914893618,0.3452265646565626,47,333391.0,0.0,2662.0,1017.5598958333334,627.5984137822,393879.7689819336,525.75,1401.5,0.0217391304347826,0.0333795868023435,0.0245431934594168,0.0029054248972573,8.441493833603114e-06,0.0220513413506012,0.0269651300236406,0.000574389558331,0.0013246152978975,0.0010115906814676,0.0002054681994011,4.2217180965131215e-08,0.000888525750436,0.0011908215338412,DBMEA_cost,207771.0,5.288543462753296,1,DBMEA_cost DBMEA_cost
berlin52.tsp,145419.0,143278.0,191072.0,6.054586887359619,5.374160051345825,0.0315332412719726,DBMEA_cost,52,1378,0.0377358490566037,26.5,1.03921568627451,0.3019391516235182,51,209005.0,0.0,1716.0,564.1886094674556,345.72205216830304,119523.73735546286,294.0,782.5,0.02,0.0473861149494882,0.0285461408840316,0.0080706006115065,6.513459423045003e-05,0.0216862745098039,0.0326620414403514,0.0009186871780091,0.0025553662691652,0.0018932731068667,0.0005066036394601,2.5664724751429445e-07,0.0014466753353842,0.0023708332982397,DBMEA_cost,143278.0,5.374160051345825,1,DBMEA_cost DBMEA_cost
brazil58.tsp,532454.0,535150.0,709540.0,8.013889074325562,9.045839548110962,0.0434129238128662,GILS_cost,58,1711,0.0338983050847457,29.5,1.0350877192982455,0.2132229081395478,57,3344980.0,0.0,8700.0,2094.9143876337694,1426.139588485403,2033874.1258453147,943.0,3065.0,0.0178571428571428,0.1479706209969367,0.0365788622938772,0.0243084826473173,0.0005909023286149,0.0200501253132832,0.0420397189311662,0.0002012932206562,0.000736272394952,0.000561535602668,0.0001450801669873,2.1048254853087366e-08,0.0004579724603869,0.0006921636801361,GILS_cost,532454.0,8.013889074325562,1,GILS_cost GILS_cost
burma14.tsp,16457.0,16457.0,18393.0,0.1562180519104004,0.0820722579956054,0.0010004043579101,GRASP_time,14,105,0.1333333333333333,7.5,1.1538461538461535,0.3414661615311484,13,24377.0,1.0,1261.0,442.6122448979592,272.51147261575125,74262.50270720533,259.0,618.0,0.0,0.032051282051282,0.0059523809523809,0.0098310030007252,9.664862000026834e-05,0.0,0.0064102564102564,0.0013129986870013,0.0026765493102738,0.0021932069414781,0.0004067952556002,1.654823799788874e-07,0.0020484729067486,0.0025181815636041,GRASP_time,18393.0,0.0010004043579101,1,GRASP_time GRASP_time
dantzig42.tsp,12392.0,12256.0,14523.0,2.579336166381836,3.3250982761383057,0.0160441398620605,DBMEA_cost,42,903,0.0465116279069767,21.5,1.048780487804878,0.3460210375121529,41,14880.0,0.0,192.0,72.29591836734694,43.48158529750573,1890.6482599842657,39.0,99.0,0.025,0.1374666512946642,0.0549901909751915,0.0280755581884856,0.000788236967595,0.0332260397123202,0.0621767022357723,0.0083690549091651,0.0190609019060901,0.0145874630875688,0.0031178971124158,9.72128240361106e-06,0.0117575271237646,0.0168239723814907,DBMEA_cost,12256.0,3.3250982761383057,1,DBMEA_cost DBMEA_cost
eil101.tsp,30309.0,30402.0,44847.0,33.69247031211853,77.14104986190796,0.224252700805664,GILS_cost,101,5151,0.0196078431372549,51.0,1.02,0.3383672759086454,100,36006.0,0.0,92.0,33.58023723164396,16.613750975647413,276.01672148082537,21.0,46.0,0.0101010101010101,0.0765230926308631,0.0277199449295985,0.0134879094599532,0.0001819237015998,0.0148892419734387,0.0378339106510995,0.0187090739008419,0.0404530744336569,0.0306411344462516,0.0052407073811034,2.746501385435177e-05,0.0264970853206147,0.0347705146036161,DBMEA_cost,30402.0,77.14104986190796,0,GILS_cost DBMEA_cost
eil51.tsp,10538.0,10122.0,12622.0,4.445834636688232,6.820752143859863,0.0305237770080566,DBMEA_cost,51,1326,0.0384615384615384,26.0,1.04,0.3493946521068088,50,11486.0,0.0,86.0,31.76086120722799,15.586857204726323,242.9501175205289,20.0,43.0,0.0204081632653061,0.0939057068309627,0.0409170455697704,0.0190460738085283,0.0003627529275199,0.0250647820222128,0.052024727766583,0.0206696982224059,0.0423728813559322,0.0319715787850374,0.0056286344144934,3.168152537201947e-05,0.0275939534521071,0.0360360781527088,DBMEA_cost,10122.0,6.820752143859863,1,DBMEA_cost DBMEA_cost
eil76.tsp,19220.0,19134.0,26419.0,15.806304931640623,24.625105381011963,0.0976178646087646,DBMEA_cost,76,2926,0.0259740259740259,38.5,1.0266666666666666,0.3609518353357577,75,21319.0,0.0,85.0,32.759349030470915,16.107539265290864,259.4528211828869,21.0,44.0,0.0135135135135135,0.0783104327768395,0.0329925438246726,0.0165435117115153,0.000273687779749,0.0181730099176461,0.0439809663861907,0.0207067918277194,0.0419463087248322,0.0313293637683786,0.0057188072078157,3.270475588016523e-05,0.0268937754423806,0.0358640650816963,DBMEA_cost,19134.0,24.625105381011963,1,DBMEA_cost DBMEA_cost
gr48.tsp,103651.0,106126.0,141005.0,3.9509339332580566,3.431821823120117,0.0240821838378906,GILS_cost,48,1176,0.0408163265306122,24.5,1.0425531914893618,0.3698928520669626,47,508258.0,0.0,1083.0,428.76649305555554,219.69222905972143,48264.67550922912,265.75,578.0,0.0217391304347826,0.1060019382406061,0.0361823267697458,0.0194167388170347,0.0003770097462889,0.0217391304347826,0.0398807688354404,0.0015413879050242,0.0031446540880503,0.0024141434024053,0.0003959757538422,1.5679679763091466e-07,0.0020606766499091,0.0027037963301261,DBMEA_cost,106126.0,3.431821823120117,0,GILS_cost DBMEA_cost
gr96.tsp,2211194.0,2315493.0,3652290.0,31.375903606414795,40.68095803260803,0.1980652809143066,GILS_cost,96,4656,0.0206185567010309,48.5,1.0210526315789474,0.3541674842798732,95,2890846.0,1.0,9850.0,3821.365234375,1984.4914186273488,3938206.1906055873,2357.5,5197.5,0.0,0.0030981709593131,0.0007471304591265,0.000716865611488,5.138963049340832e-07,0.0001119820828667,0.0011198208286674,0.0001681424857123,0.000347243798043,0.0002664934222035,4.493634681281653e-05,2.0192752648817264e-09,0.0002314606139474,0.0003055102863519,GILS_cost,2211194.0,31.375903606414795,1,GILS_cost GILS_cost
