file,n,m,ratio1,ratio2,density,min,max,mean,std,var,GILS_cost,GILS_time,GRASP_cost,GRASP_time,DBMEA_cost,DBMEA_time
bip_10_0.tsp,10,55,0.18181818181818182,5.5,1.2222222222222223,0.0,651.0,301.98,260.8338543977756,68034.29960000001,4002.0,0.0857694149017334,4844.0,0.0010006427764892578,4002.0,0.043088436126708984
bip_10_1.tsp,10,55,0.18181818181818182,5.5,1.2222222222222223,0.0,623.0,302.08,266.7458595742397,71153.3536,3790.0,0.10090780258178711,4535.0,0.0,3790.0,0.04057717323303223
bip_10_2.tsp,10,55,0.18181818181818182,5.5,1.2222222222222223,0.0,672.0,317.36,275.3941001546692,75841.9104,4453.0,0.0771491527557373,4486.0,0.0010001659393310547,4453.0,0.041396141052246094
bip_10_3.tsp,10,55,0.18181818181818182,5.5,1.2222222222222223,0.0,639.0,314.62,281.937290190567,79488.6356,3732.0,0.08010578155517578,3907.0,0.0,3862.0,0.049190521240234375
bip_10_4.tsp,10,55,0.18181818181818182,5.5,1.2222222222222223,0.0,644.0,311.9,265.4068009678727,70440.76999999999,4557.0,0.07140827178955078,4650.0,0.0,4557.0,0.044339895248413086
bip_10_5.tsp,10,55,0.18181818181818182,5.5,1.2222222222222223,0.0,596.0,303.34,259.4245639872986,67301.1044,4235.0,0.10823297500610352,4533.0,0.0,4235.0,0.04619908332824707
bip_10_6.tsp,10,55,0.18181818181818182,5.5,1.2222222222222223,0.0,638.0,306.04,262.8662747482073,69098.67839999999,4099.0,0.08954739570617676,4402.0,0.0,4099.0,0.0431215763092041
bip_10_7.tsp,10,55,0.18181818181818182,5.5,1.2222222222222223,0.0,601.0,298.66,259.0284625287345,67095.74440000001,3875.0,0.06117963790893555,3875.0,0.0009999275207519531,3875.0,0.04407811164855957
bip_10_8.tsp,10,55,0.18181818181818182,5.5,1.2222222222222223,0.0,624.0,302.66,262.04882064226126,68669.5844,4088.0,0.06260967254638672,4108.0,0.0010001659393310547,4088.0,0.04304385185241699
bip_10_9.tsp,10,55,0.18181818181818182,5.5,1.2222222222222223,0.0,630.0,309.28,280.9712469275103,78944.84159999999,4007.0,0.07117795944213867,4176.0,0.0,4007.0,0.05226635932922363
bip_20_0.tsp,20,210,0.09523809523809523,10.5,1.105263157894737,0.0,671.0,303.735,256.5382325794734,65811.864775,9695.0,0.4133939743041992,10645.0,0.0020003318786621094,9905.0,0.27747511863708496
bip_20_1.tsp,20,210,0.09523809523809523,10.5,1.105263157894737,0.0,631.0,295.295,251.4585213807637,63231.38797499999,8500.0,0.4270334243774414,9860.0,0.002001047134399414,8889.0,0.28486061096191406
bip_20_2.tsp,20,210,0.09523809523809523,10.5,1.105263157894737,0.0,686.0,318.865,274.2413112114949,75208.296775,10220.0,0.3460829257965088,10887.0,0.002000570297241211,10392.0,0.26393890380859375
bip_20_3.tsp,20,210,0.09523809523809523,10.5,1.105263157894737,0.0,644.0,307.275,262.10679002078524,68699.969375,8672.0,0.3459138870239258,9229.0,0.0020012855529785156,8765.0,0.3160693645477295
bip_20_4.tsp,20,210,0.09523809523809523,10.5,1.105263157894737,0.0,665.0,321.295,267.3927410663947,71498.877975,9438.0,0.5051515102386475,12194.0,0.002001047134399414,9672.0,0.23161935806274414
bip_20_5.tsp,20,210,0.09523809523809523,10.5,1.105263157894737,0.0,656.0,301.97,256.24495916993175,65661.4791,9595.0,0.3568084239959717,10738.0,0.0020003318786621094,9647.0,0.24437594413757324
bip_20_6.tsp,20,210,0.09523809523809523,10.5,1.105263157894737,0.0,634.0,296.48,253.15400372105515,64086.9496,8573.0,0.4002103805541992,9327.0,0.0019998550415039062,8573.0,0.23888492584228516
bip_20_7.tsp,20,210,0.09523809523809523,10.5,1.105263157894737,0.0,636.0,301.835,260.6485330382659,67937.657775,8640.0,0.49085092544555664,9992.0,0.0020508766174316406,8754.0,0.2340068817138672
bip_20_8.tsp,20,210,0.09523809523809523,10.5,1.105263157894737,0.0,676.0,314.085,270.8958984093336,73384.58777499999,10043.0,0.39552998542785645,11113.0,0.002515077590942383,10283.0,0.27101659774780273
