file,n,m,ratio1,ratio2,density,avg_clustering,mst_size,tsp_approx,edge_min,edge_max,edge_mean,edge_std,edge_var,edge_q25,edge_q75,between_min,between_max,between_mean,between_std,between_var,between_q25,between_q75,closeness_min,closeness_max,closeness_mean,closeness_std,closeness_var,closeness_q25,closeness_q75,GILS_cost,GILS_time,GRASP_cost,GRASP_time,DBMEA_cost,DBMEA_time,min_method
GILS_55_6.tsp,55,1540,0.0357142857142857,28.0,1.037037037037037,0.3825162014293511,54,898446.0,0.0,6245.0,2555.6343801652893,1242.9778146892806,1544993.84780974,1590.0,3474.0,0.0188679245283018,0.0290472862799906,0.0223500504338677,0.0028720945733258,8.24892723812787e-06,0.01988702539017,0.0239304293811631,0.0002866942034679,0.0005130592583443,0.0003928189328882,5.860352150678574e-05,3.434372732996299e-09,0.0003488748416834,0.00043364589768,743870.0,7.9472572803497314,1147662.0,0.0581417083740234,791262.0,6.925820827484131,GILS_cost
GILS_56_11.tsp,56,1596,0.0350877192982456,28.5,1.0363636363636364,0.4010221822491782,55,933627.0,0.0,5979.0,2568.1772959183672,1249.241785021502,1560605.0374437084,1642.5,3461.25,0.0185185185185185,0.0314478114478114,0.0216668472866733,0.0031074002047756,9.655936032639985e-06,0.0190516273849607,0.022864758698092,0.0002572991078738,0.0005107584298357,0.0003916645045044,6.053606644427069e-05,3.664615340545156e-09,0.0003365309573182,0.0004349615573542,759846.0,6.946732521057129,1096973.0,0.060450792312622,787872.0,6.874708414077759,GILS_cost
GILS_61_11.tsp,61,1891,0.032258064516129,31.0,1.0333333333333334,0.3831845564034165,60,1114888.0,0.0,6390.0,2637.394248857834,1305.6150163756038,1704630.570985468,1618.0,3642.0,0.0169491525423728,0.029804950228679,0.0200758689922346,0.0030730628752673,9.443715435346536e-06,0.0175141242937853,0.0216572504708097,0.0002534789992649,0.0005063761193022,0.0003825442400574,6.10672653710076e-05,3.7292108998930655e-09,0.000328817572011,0.0004245112813873,918319.0,9.065027475357056,1238873.0,0.0788698196411132,917793.0,12.56242561340332,DBMEA_cost
GILS_61_3.tsp,61,1891,0.032258064516129,31.0,1.0333333333333334,0.4050563958033765,60,1071096.0,0.0,5898.0,2558.096748185972,1248.1904041112962,1557979.2849155208,1642.0,3438.0,0.0169491525423728,0.0287126715092816,0.0200523873078749,0.0030026683408212,9.016017164970024e-06,0.0173258003766478,0.0213276836158192,0.0002789607781145,0.0005242372348233,0.0003955636955319,6.736956902870602e-05,4.5386588311135845e-09,0.0003352479717497,0.0004473739151182,915789.0,8.531644344329834,1328515.0,0.0803616046905517,962323.0,11.221095085144045,GILS_cost
GILS_62_1.tsp,62,1953,0.0317460317460317,31.5,1.0327868852459017,0.4092697743683382,61,1081271.0,0.0,5943.0,2616.7523413111344,1280.823600576272,1640509.0957931653,1597.0,3552.0,0.0166666666666666,0.0264602307225258,0.0197888379908475,0.003003513353423,9.02109246419081e-06,0.0171448087431694,0.0221123116410001,0.0002712051288891,0.0005048164454301,0.0003845130768758,5.751738473818922e-05,3.308249547120882e-09,0.0003476392907703,0.0004374474317281,866231.0,11.319061517715454,1394372.0,0.0819089412689209,895482.0,8.979029655456543,GILS_cost
GILS_65_11.tsp,65,2145,0.0303030303030303,33.0,1.03125,0.3702037850336061,64,1084797.0,0.0,6611.0,2634.4336094674554,1299.6783306747225,1689163.7632254334,1662.0,3581.0,0.0158730158730158,0.0268518518518518,0.0192060030721889,0.0027514692971746,7.570583293294909e-06,0.0165934429327286,0.0205616969009826,0.0002579875359771,0.0005068985727637,0.0003840103199068,6.221161326554953e-05,3.870284825102298e-09,0.0003474107045923,0.0004229866825286,959814.0,8.601470947265625,1340747.0,0.0945453643798828,1019145.0,14.723163366317747,GILS_cost
GILS_67_9.tsp,67,2278,0.0294117647058823,34.0,1.0303030303030305,0.3773991377271888,66,1147324.0,0.0,6326.0,2560.348852751169,1231.9225105038363,1517633.0718860754,1618.0,3498.0,0.0153846153846153,0.0251866262392578,0.0183130837729852,0.0025503928957796,6.504503922843162e-06,0.0156565656565656,0.0205009805009805,0.0002778187022499,0.0005179923870815,0.0003927893792378,5.628145324509724e-05,3.167601979380066e-09,0.0003527008378289,0.000431182348803,1060056.0,10.28184938430786,1554061.0,0.1026687622070312,1046960.0,15.232032060623167,DBMEA_cost
GILS_70_5.tsp,70,2485,0.028169014084507,35.5,1.0289855072463767,0.3747956991470041,69,1256694.0,0.0,6247.0,2533.462857142857,1246.6426889556328,1554117.9939265305,1585.0,3462.0,0.0147058823529411,0.0263863516421061,0.0179209389137822,0.0026959493955596,7.268143143418668e-06,0.015633774139293,0.0199257601591361,0.00027780685579,0.0005161850186649,0.0003973369020941,5.5784023956444006e-05,3.111857328773119e-09,0.000363494194246,0.0004358644741047,1031532.0,16.18675708770752,1719553.0,0.1178269386291503,1087062.0,20.30180668830872,GILS_cost
GILS_71_14.tsp,71,2556,0.0277777777777777,36.0,1.0285714285714285,0.3996108069005902,70,1231586.0,0.0,6135.0,2654.846260662567,1310.152487362156,1716499.5401412444,1641.0,3620.0,0.0144927536231884,0.0244168478477076,0.0175978018986182,0.002571811603494,6.614214923866668e-06,0.0152518978605935,0.0194000788721285,0.0002776125322228,0.0004930376046824,0.0003797890434375,5.621333531340133e-05,3.159939067056893e-09,0.0003291514046564,0.0004198368865809,1084548.0,15.73952317237854,1787913.0,0.1214442253112793,1179871.0,18.99885630607605,GILS_cost
GILS_73_0.tsp,73,2701,0.027027027027027,37.0,1.0277777777777777,0.3403465692070482,72,1456856.0,0.0,6756.0,2494.221429911803,1262.5253039543093,1593970.143124921,1500.0,3426.0,0.0140845070422535,0.0308013494793128,0.0177514120904182,0.0034196469553376,1.169398529914986e-05,0.0154212310902451,0.0191313156765289,0.000263862879257,0.0005239945853892,0.0004059080884631,6.363715075822067e-05,4.049686956624507e-09,0.0003619327207286,0.0004483662654203,1090905.0,13.69534993171692,1620982.0,0.1329336166381836,1158581.0,17.596094608306885,GILS_cost
