file,n,m,ratio1,ratio2,density,avg_clustering,mst_size,tsp_approx,edge_min,edge_max,edge_mean,edge_std,edge_var,edge_q25,edge_q75,between_min,between_max,between_mean,between_std,between_var,between_q25,between_q75,closeness_min,closeness_max,closeness_mean,closeness_std,closeness_var,closeness_q25,closeness_q75,GILS_cost,GILS_time,GRASP_cost,GRASP_time,DBMEA_cost,DBMEA_time,min_method
DBMEA_28_15.tsp,28,406,0.0689655172413793,14.5,1.0740740740740742,0.4377310158737169,27,297803.0,0.0,5128.0,2338.7270408163267,1158.1791873821255,1341379.0300851208,1480.75,3192.5,0.0384615384615384,0.0522317188983855,0.041005291005291,0.00395693225055,1.565731283544336e-05,0.0384615384615384,0.0413105413105413,0.0003037222853414,0.0005518650996423,0.0004223117822354,6.606177842498935e-05,4.3641585686723875e-09,0.0003669739038564,0.0004828334758328,270409.0,1.0539922714233398,285719.0,0.0084214210510253,269093.0,0.8978922367095947,DBMEA_cost
DBMEA_29_7.tsp,29,435,0.0666666666666666,15.0,1.0714285714285714,0.3712480194669984,28,389871.0,0.0,5814.0,2259.167657550536,1183.9831307650163,1401816.05393613,1411.0,3049.0,0.037037037037037,0.0537918871252204,0.0408322545706234,0.0047076278502462,2.216175997641428e-05,0.037037037037037,0.0427689594356261,0.0003016558752868,0.0005925549700548,0.0004459834267212,8.866565508218996e-05,7.861598391153876e-09,0.000383435582822,0.0005106134656065,291018.0,1.143317461013794,346754.0,0.0100128650665283,288280.0,1.055997610092163,DBMEA_cost
DBMEA_31_18.tsp,31,496,0.0625,16.0,1.0666666666666669,0.3817663613828313,30,396346.0,0.0,5720.0,2284.9344432882413,1174.157400573477,1378645.6013214646,1416.0,3061.0,0.0344827586206896,0.050191570881226,0.0384663441448758,0.0042657978808284,1.819703156008031e-05,0.0344827586206896,0.0405172413793103,0.0002839295854628,0.00058119260723,0.0004396739011857,8.25287268564242e-05,6.810990756542273e-09,0.0003779464061197,0.0005097431753538,324955.0,1.766667127609253,405934.0,0.0115084648132324,306150.0,1.1008734703063965,DBMEA_cost
DBMEA_31_7.tsp,31,496,0.0625,16.0,1.0666666666666669,0.3886306152579392,30,379221.0,0.0,5402.0,2221.1113423517168,1156.8509541694273,1338304.1301627145,1355.0,3057.0,0.0344827586206896,0.0519540229885057,0.0381093631371718,0.0043414876541041,1.884851505073867e-05,0.0344827586206896,0.0397509578544061,0.0003124349093938,0.000575010062676,0.0004483217266599,7.368061752600739e-05,5.428833399013787e-09,0.000403802259316,0.000503217828125,272174.0,1.1060876846313477,293578.0,0.009505271911621,270712.0,0.8522768020629883,DBMEA_cost
DBMEA_34_4.tsp,34,595,0.0571428571428571,17.5,1.0606060606060606,0.3546402935103757,33,422861.0,0.0,5458.0,2038.0519031141869,1087.0072215621256,1181584.699728212,1202.0,2759.0,0.03125,0.0419823232323232,0.0346980837789661,0.0038142392304851,1.4548420907371569e-05,0.03125,0.0387468434343434,0.0003054763579812,0.0006681108659121,0.0004999195594522,0.0001048952135732,1.1003005830586088e-08,0.0004266352856979,0.0005842046859565,317479.0,1.9154984951019287,379999.0,0.013514757156372,317484.0,1.34747052192688,GILS_cost
DBMEA_41_12.tsp,41,861,0.0476190476190476,21.0,1.05,0.4024676517570092,40,515901.0,0.0,5519.0,2349.200475907198,1169.0074964404037,1366578.52673386,1506.0,3213.0,0.0256410256410256,0.0356898656898656,0.0287838629302043,0.0031114596594172,9.681181212180663e-06,0.0256410256410256,0.0305555555555555,0.0002626119383387,0.0005560730123865,0.0004272983538187,7.004344178975875e-05,4.9060837377553244e-09,0.0003823726221202,0.0004684498992832,497119.0,2.3853626251220703,527958.0,0.0249226093292236,474981.0,3.175154209136963,DBMEA_cost
DBMEA_41_14.tsp,41,861,0.0476190476190476,21.0,1.05,0.3847925622723022,40,528305.0,0.0,5371.0,2222.454491374182,1174.4602098472008,1379356.7845143308,1300.0,3086.0,0.0256410256410256,0.0425171904119272,0.0294411440078962,0.0041543069839885,1.7258266517216357e-05,0.0261538461538461,0.031025641025641,0.0003146336091621,0.0006014766251146,0.0004570718744521,8.803351826162852e-05,7.749900337520482e-09,0.0003836268078413,0.0005404090896808,376483.0,3.014567375183105,526722.0,0.0250203609466552,396502.0,2.919830799102783,GILS_cost
DBMEA_41_6.tsp,41,861,0.0476190476190476,21.0,1.05,0.4037788217418925,40,535185.0,0.0,5400.0,2313.973825104105,1161.4901004013516,1349059.253330342,1500.0,3132.0,0.0256410256410256,0.0369261294261294,0.0289495791020181,0.003413252287458,1.1650291177837792e-05,0.0256410256410256,0.0318376068376068,0.0003010257452268,0.0005827420929182,0.0004363765541367,8.246026231495798e-05,6.7996948610516814e-09,0.0003677281753327,0.0005093205663644,459810.0,2.518167018890381,547029.0,0.0234992504119873,456683.0,3.2397119998931885,DBMEA_cost
DBMEA_41_8.tsp,41,861,0.0476190476190476,21.0,1.05,0.4147772984499805,40,542259.0,0.0,5450.0,2399.489589530041,1183.7903994107032,1401359.7097369523,1543.0,3243.0,0.0256410256410256,0.0362606837606837,0.0287071131911657,0.0030268922587339,9.162076745983244e-06,0.0256410256410256,0.0309218559218559,0.0003103325212965,0.0005519296841582,0.0004167106026948,6.629788129761773e-05,4.3954090645530115e-09,0.0003646474315146,0.0004643118318262,473171.0,2.756749391555786,596174.0,0.025893211364746,454464.0,3.0133538246154785,DBMEA_cost
DBMEA_42_9.tsp,42,903,0.0465116279069767,21.5,1.048780487804878,0.4119951841375529,41,572457.0,0.0,5283.0,2307.7891156462583,1124.7741586241843,1265116.907908742,1460.0,3112.0,0.025,0.0376016260162601,0.0282594528326235,0.0031949940386157,1.0207986906789891e-05,0.025,0.0298780487804878,0.0003048621799876,0.0005718270571827,0.000432950077001,6.539182585272526e-05,4.2760908883531495e-09,0.0003863947747898,0.0004815556522553,428651.0,3.189655303955078,611067.0,0.0264227390289306,425806.0,3.07570219039917,DBMEA_cost
