file,GILS_cost,DBMEA_cost,GRASP_cost,GILS_time,DBMEA_time,GRASP_time,min_method,n,m,ratio1,ratio2,density,avg_clustering,mst_size,tsp_approx,edge_min,edge_max,edge_mean,edge_std,edge_var,edge_q25,edge_q75,between_min,between_max,between_mean,between_std,between_var,between_q25,between_q75,closeness_min,closeness_max,closeness_mean,closeness_std,closeness_var,closeness_q25,closeness_q75
hk48.tsp,234801.0,245749.0,285599.0,4.496325969696045,5.451887607574463,0.0255353450775146,GILS_cost,48,1176,0.04081632653061224,24.5,1.0425531914893618,0.33759509935040116,47,1167133.0,0.0,2734.0,1001.5486111111111,592.2699017558201,350783.63652584876,550.75,1374.0,0.021739130434782608,0.04289516575898581,0.02863201479625083,0.006235267403675029,3.8878559595332335e-05,0.022961543544337257,0.032792433983366995,0.000587904184126587,0.0013633462899576493,0.0010324677691356838,0.00021899988994179603,4.796095179451878e-08,0.0008817906396132384,0.0012322497304303893
kroA100.tsp,1070206.0,1054304.0,1903677.0,44.28989577293396,76.48229765892029,0.2182133197784423,DBMEA_cost,100,5050,0.019801980198019802,50.5,1.02020202020202,0.36831788452258857,99,1196047.0,0.0,4150.0,1693.5934,927.2014221712777,859702.47727644,969.0,2360.5,0.01020408163265306,0.02524567362799306,0.014624164774508643,0.0038869214580568574,1.5108158421102847e-05,0.011018408084734614,0.01726032214263889,0.00043464707974237284,0.0007770434673406276,0.0006001343171347056,9.545286770810721e-05,9.111249953701416e-09,0.0005109664612868588,0.0006728326767688766
kroB100.tsp,1118817.0,1032121.0,2029719.0,46.88641977310181,58.52865815162659,0.211301565170288,DBMEA_cost,100,5050,0.019801980198019802,50.5,1.02020202020202,0.36163992000627326,99,1138252.0,0.0,4167.0,1670.6668,923.7124928124335,853244.76937776,951.0,2342.0,0.01020408163265306,0.027462760659446306,0.01482827392060831,0.004116527864383441,1.6945801658245294e-05,0.01102178245035388,0.017323222069547842,0.00040534233002235525,0.0007903623691710776,0.0006104925545230283,0.00010388856282474957,1.0792833485791938e-08,0.0005171003758992828,0.0006972137946954996
kroC100.tsp,1092884.0,1010140.0,1928694.0,43.61227202415466,66.87041068077087,0.2107279300689697,DBMEA_cost,100,5050,0.019801980198019802,50.5,1.02020202020202,0.36172900287105486,99,1088246.0,0.0,4187.0,1683.5478,921.8353994695365,849780.50371516,960.0,2345.25,0.01020408163265306,0.025139533723493618,0.014386570492332102,0.0033728082510646362,1.137583549844969e-05,0.011283708732688323,0.017140319878005864,0.0004371652263765185,0.0007645791339403629,0.0006013409552459773,8.783926478080225e-05,7.715736437231887e-09,0.0005194150765552407,0.0006699680080319481
kroD100.tsp,1100068.0,1031287.0,2019253.0,43.36691927909851,66.87906384468079,0.2172334194183349,DBMEA_cost,100,5050,0.019801980198019802,50.5,1.02020202020202,0.36362879702496786,99,1140443.0,0.0,4028.0,1614.793,877.9926378683366,770871.072151,954.0,2198.25,0.01020408163265306,0.026280464662946843,0.014778850226845035,0.0037740680244251054,1.4243589452988018e-05,0.011391306161714325,0.017168230845850216,0.0004392055260040726,0.0008307669069457149,0.000632909691537553,0.00011034101304523367,1.2175139159848428e-08,0.0005294750106354415,0.0007209966024901793
kroE100.tsp,1067892.0,1062846.0,2037197.0,50.3630895614624,62.90598011016846,0.2097222805023193,DBMEA_cost,100,5050,0.019801980198019802,50.5,1.02020202020202,0.3725077329296709,99,1259608.0,0.0,4138.0,1714.8328,944.7287610971521,892512.4320441599,961.75,2430.75,0.01020408163265306,0.0257222025642387,0.014659342505445356,0.0038697356461003217,1.4974853970699474e-05,0.011615347306441925,0.017298398965838666,0.00041943109890947913,0.0007682696859406648,0.0005922882984338239,9.35390715770537e-05,8.749557911497176e-09,0.0005189804181471216,0.0006531261955401835
lin105.tsp,675995.0,705856.0,1194536.0,34.05562734603882,71.41003775596619,0.2420289516448974,GILS_cost,105,5565,0.018867924528301886,53.0,1.0192307692307692,0.3255731977716774,104,889464.0,0.0,3189.0,1166.136961451247,677.3723188461915,458833.2583390665,654.0,1638.0,0.00970873786407767,0.030598276840257746,0.01715663889385352,0.004845506491477047,2.3478933158946197e-05,0.012918119504168622,0.02030972341578972,0.0005640096749351931,0.0011590326535161038,0.0008826333012640868,0.00016716309627604653,2.79435007565948e-08,0.000732270602151749,0.0010104444984211805
mod_att48.tsp,275906.0,265796.0,372743.0,6.635325908660889,7.369806528091431,0.0255322456359863,DBMEA_cost,49,1225,0.04,25.0,1.0416666666666667,0.03579497315518686,48,1056208.0,0.0,44444.0,2695.0903790087464,8246.357104804112,68002405.49995326,543.0,1489.0,0.02127659574468085,0.032432033096926716,0.024010212409854178,0.0027684079832517696,7.66408276173213e-06,0.021675531914893617,0.026270685579196217,2.3264526879495084e-05,0.0006122214711171767,0.0005207960126725588,9.480744097623617e-05,8.988450864462507e-09,0.0005047796321418431,0.0005796681399898558
mod_berlin52.tsp,297560.0,292671.0,349353.0,5.956643104553223,5.542080879211426,0.0316548347473144,DBMEA_cost,53,1431,0.037037037037037035,27.0,1.0384615384615385,0.012063084840407624,52,11252165.0,0.0,141271.0,5744.385190459238,26422.116693610024,698128250.5707455,305.0,827.0,0.0196078431372549,0.04601875817078702,0.027941942023192976,0.00780111807817588,6.085744326964253e-05,0.021744595274007038,0.03170952141540378,7.118213262764462e-06,0.00032407032326014747,0.00030141529281675226,4.376489996283278e-05,1.9153664687567607e-09,0.00029408105326260306,0.0003208707939700973
mod_burma14.tsp,32810.0,33071.0,35393.0,0.1924519538879394,0.0965476036071777,0.0010004043579101,GILS_cost,15,120,0.125,8.0,1.1428571428571428,0.08500428207954652,14,116723.0,1.0,14029.0,2047.64,4272.532063121353,18254530.2304,275.0,744.0,0.0,0.027472527472527476,0.005494505494505495,0.008972489900304683,8.050557501106954e-05,0.0,0.008241758241758242,7.48731168074103e-05,0.0007694421544380324,0.000677159617954439,0.00016849051447005535,2.838905346638393e-08,0.0006863777944180547,0.0007547210365492741
