file,n,m,ratio1,ratio2,density,min,max,mean,std,var,GILS_cost,GILS_time,GRASP_cost,GRASP_time,DBMEA_cost,DBMEA_time
att48.tsp,48,1176,0.04081632653061224,24.5,1.0425531914893618,0.0,2662.0,1017.5598958333334,627.5984137822,393879.7689819336,226229.0,6.474685430526733,301702.0,0.02601909637451172,207771.0,5.288543462753296
berlin52.tsp,52,1378,0.03773584905660377,26.5,1.0392156862745099,0.0,1716.0,564.1886094674556,345.72205216830304,119523.73735546286,145419.0,6.054586887359619,191072.0,0.031533241271972656,143278.0,5.374160051345825
brazil58.tsp,58,1711,0.03389830508474576,29.5,1.0350877192982457,0.0,8700.0,2094.9143876337694,1426.139588485403,2033874.1258453147,532454.0,8.013889074325562,709540.0,0.04341292381286621,535150.0,9.045839548110962
burma14.tsp,14,105,0.13333333333333333,7.5,1.1538461538461537,1.0,1261.0,442.61224489795916,272.51147261575125,74262.50270720533,16457.0,0.1562180519104004,18393.0,0.0010004043579101562,16457.0,0.08207225799560547
dantzig42.tsp,42,903,0.046511627906976744,21.5,1.048780487804878,0.0,192.0,72.29591836734694,43.481585297505724,1890.6482599842657,12392.0,2.579336166381836,14523.0,0.016044139862060547,12256.0,3.3250982761383057
eil101.tsp,101,5151,0.0196078431372549,51.0,1.02,0.0,92.0,33.580237231643956,16.613750975647413,276.01672148082537,30309.0,33.69247031211853,44847.0,0.22425270080566406,30402.0,77.14104986190796
eil51.tsp,51,1326,0.038461538461538464,26.0,1.04,0.0,86.0,31.76086120722799,15.586857204726325,242.95011752052895,10538.0,4.445834636688232,12622.0,0.03052377700805664,10122.0,6.820752143859863
eil76.tsp,76,2926,0.025974025974025976,38.5,1.0266666666666666,0.0,85.0,32.759349030470915,16.107539265290864,259.4528211828869,19220.0,15.806304931640625,26419.0,0.09761786460876465,19134.0,24.625105381011963
gr48.tsp,48,1176,0.04081632653061224,24.5,1.0425531914893618,0.0,1083.0,428.76649305555554,219.69222905972146,48264.67550922912,103651.0,3.9509339332580566,141005.0,0.024082183837890625,106126.0,3.431821823120117
gr96.tsp,96,4656,0.020618556701030927,48.5,1.0210526315789474,1.0,9850.0,3821.365234375,1984.4914186273488,3938206.1906055873,2211194.0,31.375903606414795,3652290.0,0.19806528091430664,2315493.0,40.68095803260803
hk48.tsp,48,1176,0.04081632653061224,24.5,1.0425531914893618,0.0,2734.0,1001.5486111111111,592.2699017558201,350783.63652584876,234801.0,4.496325969696045,285599.0,0.02553534507751465,245749.0,5.451887607574463
kroA100.tsp,100,5050,0.019801980198019802,50.5,1.02020202020202,0.0,4150.0,1693.5934,927.2014221712777,859702.47727644,1070206.0,44.28989577293396,1903677.0,0.21821331977844238,1054304.0,76.48229765892029
kroB100.tsp,100,5050,0.019801980198019802,50.5,1.02020202020202,0.0,4167.0,1670.6668,923.7124928124335,853244.76937776,1118817.0,46.88641977310181,2029719.0,0.21130156517028809,1032121.0,58.52865815162659
kroC100.tsp,100,5050,0.019801980198019802,50.5,1.02020202020202,0.0,4187.0,1683.5478,921.8353994695365,849780.50371516,1092884.0,43.61227202415466,1928694.0,0.21072793006896973,1010140.0,66.87041068077087
kroD100.tsp,100,5050,0.019801980198019802,50.5,1.02020202020202,0.0,4028.0,1614.793,877.9926378683366,770871.072151,1100068.0,43.36691927909851,2019253.0,0.21723341941833496,1031287.0,66.87906384468079
kroE100.tsp,100,5050,0.019801980198019802,50.5,1.02020202020202,0.0,4138.0,1714.8328,944.7287610971521,892512.4320441599,1067892.0,50.3630895614624,2037197.0,0.20972228050231934,1062846.0,62.90598011016846
lin105.tsp,105,5565,0.018867924528301886,53.0,1.0192307692307692,0.0,3189.0,1166.136961451247,677.3723188461915,458833.2583390665,675995.0,34.05562734603882,1194536.0,0.24202895164489746,705856.0,71.41003775596619
mod_att48.tsp,49,1225,0.04,25.0,1.0416666666666667,0.0,44444.0,2695.0903790087464,8246.357104804112,68002405.49995326,275906.0,6.635325908660889,372743.0,0.025532245635986328,265796.0,7.369806528091431
mod_berlin52.tsp,53,1431,0.037037037037037035,27.0,1.0384615384615385,0.0,141271.0,5744.385190459238,26422.116693610024,698128250.5707455,297560.0,5.956643104553223,349353.0,0.03165483474731445,292671.0,5.542080879211426
mod_burma14.tsp,15,120,0.125,8.0,1.1428571428571428,1.0,14029.0,2047.64,4272.532063121353,18254530.2304,32810.0,0.19245195388793945,35393.0,0.0010004043579101562,33071.0,0.09654760360717773
mod_eil101.tsp,102,5253,0.019417475728155338,51.5,1.0198019801980198,0.0,1406.0,59.401191849288736,184.28054859550278,33959.32059065946,33322.0,35.09529232978821,47644.0,0.22323918342590332,32520.0,75.962229013443
mod_eil51.tsp,52,1378,0.03773584905660377,26.5,1.0392156862745099,0.0,1405.0,81.87352071005917,253.65531487887813,64341.01876630281,12577.0,4.31977105140686,14380.0,0.030524492263793945,12306.0,7.149182081222534
mod_eil76.tsp,77,3003,0.02564102564102564,39.0,1.0263157894736843,0.0,1399.0,66.7589812784618,210.26218787801002,44210.18765124759,21067.0,15.847935199737549,27892.0,0.10062193870544434,20560.0,23.675825119018555
mod_gr96.tsp,97,4753,0.02040816326530612,49.0,1.0208333333333333,1.0,14025.0,3957.8653416941224,2201.669974889056,4847350.678327976,2303370.0,33.55856776237488,3962806.0,0.19272375106811523,2367461.0,38.137593507766724
mod_kroA100.tsp,101,5151,0.0196078431372549,51.0,1.02,0.0,141277.0,4390.3462405646505,19093.644699473236,364567267.9097224,1225730.0,46.038737773895264,2152375.0,0.21682333946228027,1224693.0,77.14578604698181
