file,n,m,ratio1,ratio2,density,avg_clustering,mst_size,tsp_approx,edge_min,edge_max,edge_mean,edge_std,edge_var,edge_q25,edge_q75,between_min,between_max,between_mean,between_std,between_var,between_q25,between_q75,closeness_min,closeness_max,closeness_mean,closeness_std,closeness_var,closeness_q25,closeness_q75,GILS_cost,GILS_time,GRASP_cost,GRASP_time,DBMEA_cost,DBMEA_time
srandom_10_1.tsp,10,55,0.1818181818181818,5.5,1.2222222222222223,0.4140715255691033,9,78438.0,0.0,5723.0,2283.92,1352.0348196699667,1827998.1536,1303.0,3300.0,0.125,0.125,0.125,0.0,0.0,0.125,0.125,0.0002815579540122,0.0005526218838265,0.00041459779085,9.232973208082449e-05,8.524779426116828e-09,0.0003446517183404,0.0004924129240511,59309.0,0.10901594161987305,69185.0,0.0,59309.0,0.04451560974121094
srandom_15_11.tsp,15,120,0.125,8.0,1.1428571428571428,0.4216299948152671,14,141877.0,0.0,5987.0,2536.4088888888887,1424.7789354956435,2029995.0150320989,1416.0,3551.0,0.0769230769230769,0.0976452119309262,0.0824699110413396,0.007540673913777,5.686176307391825e-05,0.0769230769230769,0.0869963369963369,0.0002414958945697,0.0004934964221509,0.0003861788243783,7.938742273813973e-05,6.302362889004105e-09,0.0003293154665325,0.0004561591163132,110331.0,0.24153709411621094,134487.0,0.002000093460083008,110331.0,0.09200692176818848
srandom_16_55.tsp,16,136,0.1176470588235294,8.5,1.1333333333333333,0.4272030492589099,15,171027.0,0.0,5268.0,2245.296875,1188.9262576965127,1413545.6462402344,1468.75,3029.0,0.0714285714285714,0.0793650793650793,0.0732142857142857,0.0031183003264884,9.723796926177846e-06,0.0714285714285714,0.073015873015873,0.0002960915909988,0.0005789493998224,0.0004365826225561,9.121814803368562e-05,8.320750530695383e-09,0.0003521153449627,0.0005082388941172,118768.0,0.4330861568450928,159940.0,0.001009225845336914,118193.0,0.22806525230407715
srandom_18_53.tsp,18,171,0.1052631578947368,9.5,1.1176470588235294,0.424721720138653,17,176552.0,0.0,5875.0,2587.0185185185187,1418.339384903407,2011686.610768176,1662.0,3617.0,0.0625,0.0845588235294117,0.0666076615831517,0.0065818448830564,4.332068206461693e-05,0.0625,0.0695465686274509,0.0002565999003788,0.0004719207173194,0.0003768962479132,6.273032481954156e-05,3.935093651965192e-09,0.0003299031062393,0.0004112206706289,141565.0,0.553905725479126,206389.0,0.00150299072265625,140809.0,0.1864781379699707
srandom_19_87.tsp,19,190,0.1,10.0,1.1111111111111112,0.462766147484037,18,138627.0,0.0,4928.0,2383.119113573407,1290.8350771257622,1666255.1963382724,1377.0,3507.0,0.0588235294117647,0.0726579520697167,0.064006421281963,0.0054926749142009,3.016947771309243e-05,0.0588235294117647,0.0702614379084967,0.0002798725025266,0.0005408978904982,0.0004098356516752,7.108242635213354e-05,5.052711336106489e-09,0.0003608525618769,0.0004631785381326,133145.0,0.42508530616760254,187575.0,0.002502918243408203,134349.0,0.2830045223236084
srandom_20_62.tsp,20,210,0.0952380952380952,10.5,1.105263157894737,0.4011982953041896,19,218603.0,0.0,6398.0,2716.1,1507.784885187539,2273415.26,1425.0,3915.5,0.0555555555555555,0.0735867446393762,0.058625730994152,0.0052714990578356,2.778870231676221e-05,0.0555555555555555,0.0614035087719298,0.0002592158039782,0.0004432417300424,0.0003573904413041,5.103683271651042e-05,2.6047582937330686e-09,0.0003155782994965,0.0003959374636436,153031.0,0.5093140602111816,188934.0,0.003009319305419922,148311.0,0.3281395435333252
srandom_21_45.tsp,21,231,0.0909090909090909,11.0,1.1,0.4311796716070975,20,251464.0,0.0,6183.0,2778.045351473923,1444.7279158297283,2087238.7507777112,1653.0,3764.0,0.0526315789473684,0.0675438596491228,0.0560568086883876,0.0047655674843614,2.2710633448003165e-05,0.0526315789473684,0.0578947368421052,0.0002656113044171,0.0004479684630202,0.0003494184658761,4.83833358567757e-05,2.340947188629557e-09,0.0003095496053242,0.0003883947644385,181028.0,0.7891809940338135,244148.0,0.003511667251586914,187840.0,0.3091113567352295
srandom_22_86.tsp,22,253,0.0869565217391304,11.5,1.0952380952380951,0.3951690272605377,21,231393.0,0.0,5471.0,2255.371900826446,1237.24272979621,1530769.5724335772,1286.0,3128.0,0.05,0.0611111111111111,0.0522727272727272,0.0036156113796152,1.3072645648403229e-05,0.05,0.054563492063492,0.0002654565220139,0.0005669699505926,0.000439354611431,8.037515707338112e-05,6.4601658745706874e-09,0.0003814251202923,0.0005012890371918,166434.0,1.2511427402496338,276814.0,0.004464387893676758,174185.0,0.298004150390625
srandom_24_17.tsp,24,300,0.08,12.5,1.0869565217391304,0.3897999132782947,23,246460.0,0.0,5852.0,2376.961805555556,1264.0957524878609,1597938.071457851,1447.5,3347.5,0.0454545454545454,0.0573122529644268,0.0479249011857707,0.0034767487996418,1.2087782215811092e-05,0.0454545454545454,0.0494071146245059,0.0002798019488814,0.0005378104101388,0.0004190698463562,7.974601243393464e-05,6.359426499113259e-09,0.000347587556282,0.0004956071289265,207985.0,0.7754862308502197,277312.0,0.005939483642578125,206334.0,0.40955066680908203
srandom_24_31.tsp,24,300,0.08,12.5,1.0869565217391304,0.3929864602964071,23,275361.0,0.0,5608.0,2278.1701388888887,1177.3006210406747,1386036.7523027586,1463.25,3054.25,0.0454545454545454,0.0592885375494071,0.0485836627140974,0.0038376746369338,1.4727746618965046e-05,0.0454545454545454,0.0494071146245059,0.0002963611998763,0.0005654439964598,0.0004356269947812,7.788810857413588e-05,6.066557457256379e-09,0.0003745686888875,0.0004773974881797,205088.0,0.6150608062744141,232744.0,0.005505800247192383,201344.0,0.61745285987854
srandom_24_89.tsp,24,300,0.08,12.5,1.0869565217391304,0.3957181522705035,23,254001.0,0.0,5185.0,2152.2256944444443,1156.7039294097767,1337963.9803120175,1275.75,2896.0,0.0454545454545454,0.0612648221343873,0.0490228370663153,0.0050989045410044,2.5998827518275303e-05,0.0454545454545454,0.0515480895915678,0.0002705595878083,0.0005622097286726,0.0004593139694857,7.478098996009644e-05,5.592196459412044e-09,0.0004177097161161,0.0005200639939588,175395.0,0.6909754276275635,193853.0,0.006000518798828125,174784.0,0.3726356029510498
srandom_25_26.tsp,25,325,0.0769230769230769,13.0,1.0833333333333333,0.3880817206590017,24,319875.0,0.0,6192.0,2504.3776,1293.128935187145,1672182.44301824,1484.0,3378.0,0.0434782608695652,0.0591787439613526,0.0479710144927536,0.0047917494262416,2.296086256388714e-05,0.0434782608695652,0.0495169082125603,0.0002565582707972,0.0005006988922037,0.0003958745971124,6.805352676597671e-05,4.631282505287508e-09,0.0003424950766332,0.0004559963520291,221404.0,0.8840255737304688,273736.0,0.006062746047973633,216582.0,0.627286434173584
srandom_26_34.tsp,26,351,0.074074074074074,13.5,1.08,0.4623347309690495,25,246665.0,0.0,5448.0,2675.3579881656806,1384.2250749914213,1916079.058235006,1571.0,3803.0,0.0416666666666666,0.0605555555555555,0.0448931623931624,0.0044150180516313,1.9492384396230543e-05,0.0416666666666666,0.0465277777777777,0.000282154304546,0.000473915680922,0.0003658217142148,4.842699109995784e-05,2.345173466995396e-09,0.0003335526418098,0.0003934046482971,227300.0,1.1856639385223389,253608.0,0.0067021846771240234,220150.0,0.558887243270874
