file,n,m,ratio1,ratio2,density,min,max,mean,std,var,GILS_cost,GILS_time,GRASP_cost,GRASP_time,DBMEA_cost,DBMEA_time
line_30_2.tsp,30,465,0.06451612903225806,15.5,1.0689655172413792,0.0,272.0,100.76,73.14922464843129,5350.809066666667,4008.0,1.3987987041473389,7586.0,0.008504629135131836,3756.0,0.7543306350708008
line_30_3.tsp,30,465,0.06451612903225806,15.5,1.0689655172413792,0.0,288.0,102.2311111111111,74.46765091030309,5545.431032098765,4866.0,0.810187578201294,5146.0,0.009505987167358398,4842.0,0.9829010963439941
line_30_4.tsp,30,465,0.06451612903225806,15.5,1.0689655172413792,0.0,262.0,87.34444444444445,63.87925434601181,4080.5591358024694,5221.0,1.3716802597045898,7593.0,0.009505987167358398,5447.0,0.9518978595733643
line_30_5.tsp,30,465,0.06451612903225806,15.5,1.0689655172413792,0.0,281.0,104.40666666666667,75.36846643877884,5680.405733333333,6183.0,1.1553502082824707,7113.0,0.00951528549194336,6411.0,0.9405899047851562
line_30_6.tsp,30,465,0.06451612903225806,15.5,1.0689655172413792,0.0,274.0,98.62444444444445,74.07853986908626,5487.630069135802,4101.0,2.1093106269836426,12387.0,0.009514808654785156,3865.0,0.905890703201294
line_30_7.tsp,30,465,0.06451612903225806,15.5,1.0689655172413792,0.0,279.0,99.31111111111112,72.36620519497335,5236.867654320988,4292.0,1.826120138168335,10418.0,0.00951385498046875,4698.0,0.7972757816314697
line_30_8.tsp,30,465,0.06451612903225806,15.5,1.0689655172413792,0.0,277.0,88.16888888888889,65.41850170580261,4279.580365432099,5272.0,0.7698101997375488,5582.0,0.00952291488647461,5628.0,0.8540329933166504
line_30_9.tsp,30,465,0.06451612903225806,15.5,1.0689655172413792,0.0,246.0,84.66,65.08587455559514,4236.171066666667,5311.0,1.2909035682678223,6215.0,0.009504556655883789,5359.0,1.0262980461120605
line_40_0.tsp,40,820,0.04878048780487805,20.5,1.0512820512820513,0.0,355.0,127.78,91.7425288511277,8416.691599999998,10562.0,2.766395092010498,15878.0,0.021168231964111328,10372.0,2.6177380084991455
line_40_1.tsp,40,820,0.04878048780487805,20.5,1.0512820512820513,0.0,378.0,133.2025,95.32583067432458,9087.01399375,11166.0,2.0699236392974854,15498.0,0.02159285545349121,11782.0,2.704490900039673
line_40_2.tsp,40,820,0.04878048780487805,20.5,1.0512820512820513,0.0,376.0,131.915,94.29574632505965,8891.687775,9364.0,3.079066514968872,21422.0,0.021028995513916016,8362.0,2.5424644947052
line_40_3.tsp,40,820,0.04878048780487805,20.5,1.0512820512820513,0.0,393.0,135.93625,97.9551156700736,9595.204685937499,9109.0,2.058657646179199,12053.0,0.021535634994506836,10395.0,2.4663331508636475
line_40_4.tsp,40,820,0.04878048780487805,20.5,1.0512820512820513,0.0,374.0,112.0075,81.85108394975597,6699.59994375,8086.0,3.098297119140625,15222.0,0.022540569305419922,8230.0,2.3801136016845703
line_40_5.tsp,40,820,0.04878048780487805,20.5,1.0512820512820513,0.0,376.0,118.51375,87.89846307494517,7726.1398109374995,9019.0,2.140660524368286,10233.0,0.022014141082763672,10357.0,2.282236337661743
line_40_6.tsp,40,820,0.04878048780487805,20.5,1.0512820512820513,0.0,369.0,116.46625,84.37950794439074,7119.9013609375,10489.0,2.485858917236328,12697.0,0.022015094757080078,10549.0,2.47021746635437
