file,n,m,ratio1,ratio2,density,min,max,mean,std,var,GILS_cost,GILS_time,GRASP_cost,GRASP_time,DBMEA_cost,DBMEA_time,Min_val,Min_col
att48.tsp,48,1176,0.0408163265306122,24.5,1.0425531914893618,0.0,2662.0,1017.5598958333334,627.5984137822,393879.7689819336,226229.0,6.474685430526733,301702.0,0.0260190963745117,207771.0,5.288543462753296,207771.0,DBMEA_cost
berlin52.tsp,52,1378,0.0377358490566037,26.5,1.03921568627451,0.0,1716.0,564.1886094674556,345.72205216830304,119523.73735546286,145419.0,6.054586887359619,191072.0,0.0315332412719726,143278.0,5.374160051345825,143278.0,DBMEA_cost
brazil58.tsp,58,1711,0.0338983050847457,29.5,1.0350877192982455,0.0,8700.0,2094.9143876337694,1426.139588485403,2033874.1258453147,532454.0,8.013889074325562,709540.0,0.0434129238128662,535150.0,9.045839548110962,532454.0,GILS_cost
burma14.tsp,14,105,0.1333333333333333,7.5,1.1538461538461535,1.0,1261.0,442.6122448979592,272.51147261575125,74262.50270720533,16457.0,0.1562180519104004,18393.0,0.0010004043579101,16457.0,0.0820722579956054,16457.0,GILS_cost
dantzig42.tsp,42,903,0.0465116279069767,21.5,1.048780487804878,0.0,192.0,72.29591836734694,43.48158529750573,1890.6482599842657,12392.0,2.579336166381836,14523.0,0.0160441398620605,12256.0,3.3250982761383057,12256.0,DBMEA_cost
eil101.tsp,101,5151,0.0196078431372549,51.0,1.02,0.0,92.0,33.58023723164396,16.613750975647413,276.01672148082537,30309.0,33.69247031211853,44847.0,0.224252700805664,30402.0,77.14104986190796,30309.0,GILS_cost
eil51.tsp,51,1326,0.0384615384615384,26.0,1.04,0.0,86.0,31.76086120722799,15.586857204726323,242.95011752052892,10538.0,4.445834636688232,12622.0,0.0305237770080566,10122.0,6.820752143859863,10122.0,DBMEA_cost
eil76.tsp,76,2926,0.0259740259740259,38.5,1.0266666666666666,0.0,85.0,32.759349030470915,16.107539265290864,259.4528211828869,19220.0,15.806304931640623,26419.0,0.0976178646087646,19134.0,24.625105381011963,19134.0,DBMEA_cost
gr48.tsp,48,1176,0.0408163265306122,24.5,1.0425531914893618,0.0,1083.0,428.76649305555554,219.69222905972143,48264.67550922912,103651.0,3.9509339332580566,141005.0,0.0240821838378906,106126.0,3.431821823120117,103651.0,GILS_cost
gr96.tsp,96,4656,0.0206185567010309,48.5,1.0210526315789474,1.0,9850.0,3821.365234375,1984.4914186273488,3938206.1906055873,2211194.0,31.375903606414795,3652290.0,0.1980652809143066,2315493.0,40.68095803260803,2211194.0,GILS_cost
hk48.tsp,48,1176,0.0408163265306122,24.5,1.0425531914893618,0.0,2734.0,1001.5486111111112,592.2699017558201,350783.6365258488,234801.0,4.496325969696045,285599.0,0.0255353450775146,245749.0,5.451887607574463,234801.0,GILS_cost
kroA100.tsp,100,5050,0.0198019801980198,50.5,1.02020202020202,0.0,4150.0,1693.5934,927.2014221712776,859702.47727644,1070206.0,44.28989577293396,1903677.0,0.2182133197784423,1054304.0,76.48229765892029,1054304.0,DBMEA_cost
kroB100.tsp,100,5050,0.0198019801980198,50.5,1.02020202020202,0.0,4167.0,1670.6668,923.7124928124337,853244.76937776,1118817.0,46.88641977310181,2029719.0,0.211301565170288,1032121.0,58.52865815162659,1032121.0,DBMEA_cost
kroC100.tsp,100,5050,0.0198019801980198,50.5,1.02020202020202,0.0,4187.0,1683.5478,921.8353994695364,849780.50371516,1092884.0,43.61227202415466,1928694.0,0.2107279300689697,1010140.0,66.87041068077087,1010140.0,DBMEA_cost
kroD100.tsp,100,5050,0.0198019801980198,50.5,1.02020202020202,0.0,4028.0,1614.793,877.9926378683366,770871.072151,1100068.0,43.36691927909851,2019253.0,0.2172334194183349,1031287.0,66.87906384468079,1031287.0,DBMEA_cost
kroE100.tsp,100,5050,0.0198019801980198,50.5,1.02020202020202,0.0,4138.0,1714.8328,944.728761097152,892512.4320441599,1067892.0,50.3630895614624,2037197.0,0.2097222805023193,1062846.0,62.90598011016846,1062846.0,DBMEA_cost
lin105.tsp,105,5565,0.0188679245283018,53.0,1.0192307692307692,0.0,3189.0,1166.136961451247,677.3723188461915,458833.2583390665,675995.0,34.05562734603882,1194536.0,0.2420289516448974,705856.0,71.41003775596619,675995.0,GILS_cost
mod_att48.tsp,49,1225,0.04,25.0,1.0416666666666667,0.0,44444.0,2695.0903790087464,8246.357104804112,68002405.49995326,275906.0,6.635325908660889,372743.0,0.0255322456359863,265796.0,7.369806528091431,265796.0,DBMEA_cost
mod_berlin52.tsp,53,1431,0.037037037037037,27.0,1.0384615384615383,0.0,141271.0,5744.385190459238,26422.116693610024,698128250.5707455,297560.0,5.956643104553223,349353.0,0.0316548347473144,292671.0,5.542080879211426,292671.0,DBMEA_cost
mod_burma14.tsp,15,120,0.125,8.0,1.1428571428571428,1.0,14029.0,2047.64,4272.532063121353,18254530.2304,32810.0,0.1924519538879394,35393.0,0.0010004043579101,33071.0,0.0965476036071777,32810.0,GILS_cost
mod_eil101.tsp,102,5253,0.0194174757281553,51.5,1.0198019801980198,0.0,1406.0,59.401191849288736,184.2805485955028,33959.32059065946,33322.0,35.09529232978821,47644.0,0.2232391834259033,32520.0,75.962229013443,32520.0,DBMEA_cost
mod_eil51.tsp,52,1378,0.0377358490566037,26.5,1.03921568627451,0.0,1405.0,81.87352071005917,253.65531487887813,64341.01876630281,12577.0,4.31977105140686,14380.0,0.0305244922637939,12306.0,7.149182081222534,12306.0,DBMEA_cost
