file,n,m,ratio1,ratio2,density,min,max,mean,std,var,GILS_cost,GILS_time,GRASP_cost,GRASP_time,DBMEA_cost,DBMEA_time,Min_val,Min_col,min_method
random_40_8.tsp,40,820,0.048780487804878,20.5,1.051282051282051,0.0,588.0,256.90875,126.966877268985,16120.5879234375,45373.0,3.435960292816162,62971.0,0.014514684677124,44959.0,2.5929229259490967,0,,DBMEA_cost
random_40_9.tsp,40,820,0.048780487804878,20.5,1.051282051282051,0.0,586.0,262.0575,130.39901914412548,17003.90419375,42689.0,2.4636945724487305,56977.0,0.0140254497528076,42482.0,2.1313257217407227,0,,DBMEA_cost
random_50_0.tsp,50,1275,0.0392156862745098,25.5,1.0408163265306123,0.0,626.0,255.4296,132.05189981155135,17437.70424384,59056.0,4.776275157928467,84432.0,0.0270659923553466,58111.0,5.847266435623169,0,,DBMEA_cost
random_50_1.tsp,50,1275,0.0392156862745098,25.5,1.0408163265306123,0.0,606.0,261.7816,129.95720334571686,16888.87470144,67646.0,4.561665296554565,83402.0,0.027029275894165,64843.0,5.094521522521973,0,,DBMEA_cost
random_50_2.tsp,50,1275,0.0392156862745098,25.5,1.0408163265306123,0.0,612.0,235.516,122.64132478084213,15040.894544,65034.0,4.832793951034546,87616.0,0.0275390148162841,59883.0,5.618360996246338,0,,DBMEA_cost
random_50_3.tsp,50,1275,0.0392156862745098,25.5,1.0408163265306123,0.0,572.0,241.092,122.902889860247,15105.120336000002,61825.0,4.27149224281311,85649.0,0.0271563529968261,63014.0,6.524445533752441,0,,GILS_cost
random_50_4.tsp,50,1275,0.0392156862745098,25.5,1.0408163265306123,0.0,643.0,242.1736,122.72175790396746,15060.62986304,65509.0,6.118112087249756,86533.0,0.0278925895690917,60521.0,6.057598829269409,0,,DBMEA_cost
random_50_5.tsp,50,1275,0.0392156862745098,25.5,1.0408163265306123,0.0,608.0,265.3368,131.61840359828105,17323.40416576,67656.0,5.569552898406982,84427.0,0.0265233516693115,65200.0,5.935321807861328,0,,DBMEA_cost
random_50_6.tsp,50,1275,0.0392156862745098,25.5,1.0408163265306123,0.0,665.0,255.112,128.14159143697256,16420.267456,70371.0,5.246710538864136,94525.0,0.0280365943908691,67545.0,7.2336649894714355,0,,DBMEA_cost
random_50_7.tsp,50,1275,0.0392156862745098,25.5,1.0408163265306123,0.0,558.0,223.3264,116.85255265949478,13654.51906304,58813.0,5.261966228485107,81939.0,0.0269584655761718,58391.0,5.360777139663696,0,,DBMEA_cost
random_50_8.tsp,50,1275,0.0392156862745098,25.5,1.0408163265306123,0.0,612.0,256.3072,125.43774243886884,15734.62722816,65769.0,3.986534357070923,78182.0,0.0275330543518066,62079.0,5.738337516784668,0,,DBMEA_cost
random_50_9.tsp,50,1275,0.0392156862745098,25.5,1.0408163265306123,0.0,623.0,258.6504,127.81999287998728,16337.95057984,68064.0,5.2194983959198,93133.0,0.0275356769561767,66787.0,5.368332624435425,0,,DBMEA_cost
random_60_0.tsp,60,1830,0.0327868852459016,30.5,1.0338983050847457,0.0,620.0,271.2994444444444,135.08557699030075,18248.11311080247,96803.0,8.783329963684082,123906.0,0.0482192039489746,91714.0,8.835944175720215,0,,DBMEA_cost
random_60_1.tsp,60,1830,0.0327868852459016,30.5,1.0338983050847457,0.0,656.0,264.1738888888889,130.26426680828004,16968.779207098767,97938.0,7.317185163497925,122575.0,0.0455601215362548,92566.0,9.042350053787231,0,,DBMEA_cost
random_60_2.tsp,60,1830,0.0327868852459016,30.5,1.0338983050847457,0.0,599.0,254.67666666666668,124.9506743123506,15612.671011111112,95758.0,7.489115715026855,132214.0,0.0464732646942138,91862.0,9.960541725158691,0,,DBMEA_cost
random_60_3.tsp,60,1830,0.0327868852459016,30.5,1.0338983050847457,0.0,631.0,263.99611111111113,131.54071396081514,17302.95942932099,86049.0,10.133267641067505,129336.0,0.0465469360351562,81094.0,8.38442063331604,0,,DBMEA_cost
random_60_4.tsp,60,1830,0.0327868852459016,30.5,1.0338983050847457,0.0,590.0,264.1505555555556,128.30559916647883,16462.326777469134,94169.0,7.459946870803833,128995.0,0.0492300987243652,90553.0,9.195902824401855,0,,DBMEA_cost
random_60_5.tsp,60,1830,0.0327868852459016,30.5,1.0338983050847457,0.0,600.0,258.8561111111111,126.44593867380148,15988.575407098766,92507.0,9.182018041610718,122182.0,0.0475456714630126,84558.0,8.604669332504272,0,,DBMEA_cost
random_60_6.tsp,60,1830,0.0327868852459016,30.5,1.0338983050847457,0.0,677.0,270.6838888888889,134.3170402294052,18041.067295987654,93972.0,8.38266921043396,125278.0,0.0465493202209472,94351.0,8.647951364517212,0,,GILS_cost
random_60_7.tsp,60,1830,0.0327868852459016,30.5,1.0338983050847457,0.0,609.0,240.01111111111112,120.27808006120598,14466.816543209878,88214.0,6.841705560684204,115850.0,0.0469844341278076,87910.0,8.675896883010864,0,,DBMEA_cost
random_60_8.tsp,60,1830,0.0327868852459016,30.5,1.0338983050847457,0.0,678.0,239.1761111111111,120.58562004921782,14540.891762654324,91249.0,8.336892366409302,118752.0,0.047548770904541,86803.0,10.507436990737917,0,,DBMEA_cost
random_60_9.tsp,60,1830,0.0327868852459016,30.5,1.0338983050847457,0.0,673.0,254.12833333333333,128.24189243379092,16445.982975,84643.0,7.421083211898804,125099.0,0.0465540885925293,85716.0,9.194000005722046,0,,GILS_cost
random_70_0.tsp,70,2485,0.028169014084507,35.5,1.0289855072463767,0.0,666.0,271.72,133.3862642011951,17791.89547755102,112918.0,14.133095264434814,160127.0,0.0735771656036377,108972.0,15.342331886291504,0,,DBMEA_cost
random_70_1.tsp,70,2485,0.028169014084507,35.5,1.0289855072463767,0.0,617.0,268.9371428571429,132.79863584251402,17635.47768163265,109843.0,13.501574754714966,174404.0,0.0720839500427246,109336.0,19.25619649887085,0,,DBMEA_cost
random_70_2.tsp,70,2485,0.028169014084507,35.5,1.0289855072463767,0.0,622.0,253.8930612244898,127.67297827036396,16300.389380424826,113262.0,11.605632066726685,171060.0,0.0736012458801269,109476.0,18.910083055496216,0,,DBMEA_cost
random_70_3.tsp,70,2485,0.028169014084507,35.5,1.0289855072463767,0.0,668.0,272.47591836734694,134.44953697020878,18076.67799150354,107722.0,15.408621311187744,189628.0,0.0720882415771484,104273.0,13.870874404907228,0,,DBMEA_cost
